" اونی که توی عکس زده نیست, روی لب کلن یه رنگ دیگه میشه, چرب و نرمه, ولی یکمی شاین داره و مات نیست ",رنگش,negative,"['رنگ: Positive', 'چگب و نرمی: Positive', 'شاین: Negative']"
با سلام این دستگاه برای پوست صورت ساخته شده و همین قدرت متوسط هم اگر بیش از یک دقیقه استفاده بشه پوست رو حساس میکنه در ضمن قیمتش مخصوصا با تخفیفی که خورده اصلا با براون قابل قیاس نیست. در کل در رنج خودش کارش رو خیلی خوب انجام میده و پوست رو کاملا تمیز و لایه برداری میکنه. توصیه میکنم بعد از استفاده حتما از ماسک های آب رسان. مرطوب کننده استفاده بشه. چون چربی پوست رو کاملا می گیره و این میزان خشکی پوست در دراز مدت باعث ایجاد چروک میشه. ,این دستگاه,positive,"[' محصول: Positive', 'قدرت: Moderate', ' Effect بر پوست: Positive', ' Layer برداری: Positive', 'ماسک: Positive', ' مرطوب کننده: Positive', ' brilho: Negative']"
با سلام این سیم کیفیتش عالیه مخصوصا برای کسایی که بچه های شیطونی دارن ونگرانی در مورد قطع شدن سیم دارند نگرانیشون برطرف میشه سرعت شارژش عالیه و کیفیتشم خوبه ,"کیفیتش, کیفیتشم, سرعت","positive, positive, positive","[' Quality: Positive', 'Speed of Charging: Positive', 'Durability: Positive']"
با سلام این محصول ایرانی نیست و ساخت چینه. اگه شما فکر میکنید تلویزیون یا محصولات دیگه با نام X. Vision ساخت ایرانه بازم اشتباه میکنید. ایران فقط اینارو مونتاژ و گارانتی میکنه و در اختیار مردم میذاره. البته من این کالا رو در پیشنهاد خریدم و واقعا از خریدم راضیم. نسبت به قیمتش واقعا عالیه. در خریدش شک نکنید با تشکر ,"این کالا, قیمتش","positive, positive","['برYSTAL: Negative', 'تولید: Positive', 'garanتی: Positive', 'قیمت: Negative']"
با سلام این محصول رو به عنوان هدیه گرفتم برای یکی از دوستانم خب انتظار چندانی ازش نمیره با توجه به قیمتش کیفیت صداش هم متوسط هست ولی بیشتر برای سرهای بزرگ مناسبه درکل اگه سخت گیر نباشی راضیت میکنه فکر میکنم اگه تو تخفیف شگفت انگیز بتونی بخری خیلی ارزش خرید بالاتری داشته باشه ,کیفیت صداش,neutral,"['قیمت: Neutral', 'qualität: Neutral', 'سرهای بزرگ: Positive']"
با سلام این مطلب رو برای اون دسته از دوستانی میزارم که میخوان مودم خوب، بصرفه و با امکانات معقول بخرن من حدود ۹ماه این مودم رو خریدم البته باقیمتی کمتر از این، قبل اون هم با کلی مودم کار کردم از وایرلس بگیر تا usb … ۱-مکانی که گوشی آنتن ضعیف بود این مودم آنتن قابل قبولی داشت ۲-راحت میشه به یه پاور بانک وصلش کرد و همه جا برد (به شارژر موبایل به راحتی وصل میشه، داخل ماشین هم میشه استفاده کرد ۳-اگه با سیم کارت ایرانسل میخوایین استفاده کنین با برنامه ایرانسل من راحت میشه شارژ خرید ۴-برنامه hi link هواوی رو هم نصب کنید راحت میتونید هر تنظیمی که میخوایین روی مودم انجام بدین به نظر شخصی این مدل خیلی بهتر از مدل های گرون قیمت هست ,مودم,positive,"['انتن: Positive', ' Power Bank: Positive', ' سیم کارت: Positive', 'برنامه: Positive']"
با سلام این نقد رو بعد از تحویل گرفتن نوشتم من از دیجیکالا خرید نکردم و از بازار خریدم و رنگ آبی هم هست اولش شک داشتم اما واقعا رنگ آبی ش از همه رنگ ها زیبا تره و کیفیت صفحه نمایشش عالیه من این لبتاپ رو به عنوان دم دستی گرفتم و لبتاپ اصلی ام lenovo y۷۰۰ ه این لبتاپ از نظر کیفیت صفحه چیزی از y۷۰۰ کم نداره! با اینکه حدود اختلاف قیمت دارند!!!!! اما از نظر سخت افزار رام اش خیلی پایینه و هم چنین حافظه داخلی اش اذیت کننده است اما به نظر من خیلی وسیله بدرد بخوریه. ,"حافظه داخلی, رام اش, دیجیکالا, بازار","negative, negative, neutral, neutral","['색: Positive', '品質 صفحه نمایش: Positive', 'سخت افزار رام: Negative', 'حافظه داخلی: Negative']"
با سلام این هارد بعد از مدتی سرعتش خیلی میاد پایین من ۱۰ عددشو خریدم برای مشتریهام چقدر درگیر شدم و باهاشون بگو مگو کردم چنتاشون زوری پسم دادن و چنتاشون فرستادن گارانتی ,سرعتش,negative,"['سرعت: Negative', '的功能: Positive', 'garanتی: Positive']"
با سلام این هدفون امروز ب دستم رسید ارگونومی عالی تا ۱۰ متر هم آنتن میداد فقط اگه چند تا کار با گوشی کنید یک لحظه گیر میکنه فقط همین بهتون پیشنهاد میکنم بخرید ,ارگونومی,positive,"['انتن: Positive', ' کارایی: Negative']"
با سلام این پاور کاملا مغایر با توضیحات ارائه شدی در معرفی محصول بوسیله سایت، هست کاملا بی کیفیت هست و خیلی زود خراب می شه میزان واقعی توان این پاور حدود ۶ هزارمیلی آمپر هست ,این پاور,negative,"[' Power: Negative', 'Quality: Negative', 'Durability: Negative']"
با سلام این پرینترو ۲ هفتس از دیجیکالا خریدم. کیفیت چاپ اون نسبتا خوبه ولی یه مقدار کیفیت رنگ پایین و تصاویر چاپی بی روح هستند. از کاغذ عکس ۲۶۵ گرمی کداک هم که استفاده کردم تغییر چندانی نداشن. از دوستان کسی تنظیمات رنگ و شفافیت چاپ این پرینترو میدونه. ,"کیفیت چاپ, کیفیت رنگ","positive, negative","['őség چاپ: Relatively Positive', 'uality رنگ: Negative', 'تصاهای چاپی: Negative', 'کاغذ: Negative', 'تنظیمات: Negative']"
با سلام این چاپ گر من حدود ۳ ماه خریده ام بسیار عالی و مخصوص مصارف خانگی هست و خیلی هم پر کاربرد. بنده پیشنهاد می کنم، برای شارژ کردنش هم با هزینه کم قابل شارژ هست &#۱۷۱;کافی چهار رنگ اصلی زرد، قرمز، ابی و سیاه را که اکثر فروشگاه هم دارند تهیه کرده و با سرنگ دو میلی لیتری به کارتریج تزریق کنید. توضیحات بیشتر در اینترنت گفته اند. &#۱۸۷; هرکس موفق هست لایک کنه ,این چاپ گر,positive,"['شرور: Positive', 'رنگ: Positive', 'سرنگ: Positive', ' Utility: Positive']"
با سلام این چراغ فانوسی تازه به دستم رسیده ساخت چین هست نوردهیش قابل قبوله تو پیشنهاد شگفت انگیز ارزش خرید داره طراحیش خوبه ولی کیفیت بدنه متوسط هست کابل شارژش کوتاهه در کل برای هرخونهای نیازه ,کیفیت بدنه,neutral,"['برنامه: Positive', ' Design: Positive', 'qualität بدنه: Negative', 'مدول Chargers: Negative']"
با سلام این کالا دیروز دستم رسید خیلی خوب بود رنگ خیلی خوبی داره و میشه راحت بصورت روزمره استفاده کرد اصلا تند و زننده نیست و اینکه خیلی نرم و لطیف هستش. ,"این کالا, رنگ","positive, positive","['رنگ: Positive', ' Texture: Positive', 'Ease of use: Positive', 'Temperature: Negative']"
با سلام این گوشی از همه نظر عالیه با توجه به ۵ ماه استفاده بازی های سنگین رو بدون لگ و با سرعت بالا اجرا میکنه کیفیت صفحه نمایش فوق العاده هست کیفیت دوربین ها عالی است حتی در نور کم تا حالا حتی یک بار هم هنگ نکرده مقاومتش بد نیست پیشنهاد می کنم برای گلس و جلد بخرید حسگر اثر انگشتش خیلی سریع و با دقت بالا عمل میکنه در حد یه اشاره همه امکاناتش عالی هست به جز کیبوردش به نظرم بهتره از کیبورد خودش استفاده نکنید. موفق باشین به امید دیدار ,"حسگر اثر انگشتش, صفحه نمایش, گوشی, کیبوردش, دوربین ها","positive, positive, positive, negative, positive","[' صفحه نمایش: Positive', 'körper: Positive', 'سیستем دوربین: Positive', 'باتری: Negative', 'کیبورد: Negative']"
با سلام این گوشی همچیش عالیه هرکس میخاد بخره شک نکنه اثر انگشت تو ۰٫۲ ثانیه باز میکنه یعنی فوق العاده دوربین اصلی راصی کننده و عالیه دوربین سلفی هم در حد خودش هست ی پیشنهاد: هرکس خواست بخره حتما بیمه کنه چون بسیار شکننده و ظریفه باتری هم برای من دو روز راحت دوام میاره ب وای فای وصلم نور صفحه زیاد و همش تو نت یعنی باتری حرف نداره ارزش داره شک نکنید اگه هم میخاید ببیند گوشیتون اصله یا نه کد #۰۶#* رو بگیر و ببیند ک کد هفتم و هشتمش چنده اگه ۰۸ باشه یعنی اصله و ساخت آلمان و درجه یکه اگه تونستم راهنماییتون کنم لایک کنید ,"اثر انگشت, باتری, دوربین سلفی, این گوشی, دوربین اصلی","positive, positive, positive, positive, positive","['برنامه‌ریزی: Positive', 'دوربین اصلی: Positive', 'دوربین سلفی: Positive', 'بateri: Negative', 'صفحه نمایش: Positive', 'نت: Positive']"
با سلام این گوشی یک ماهی هست خریدم همه چیزش عالیه البته با توجه به قیمتش و فقط تنها ایرادش اینه که تاچش خیلی به ندت برای چند ثانیه ای کند میشه اونهم در شرایطی که چند ساعت مداوم باهاش کار کنیکه با توجه به مزیتهای دیگش اصلا منو اذیت نمیکنه. به نظرم با توجه به باتری خیلی خوبش و دوربین درحد انتظار، با این قیمت هزینه بهترین گوشی بود که میتونستم بخرم. ,تاچش,negative,"['قیمت: Positive', 'تاچش: Negative', 'باتری: Positive', 'دوربین: Positive']"
با سلام اینکه در وزن کشیهای مختلف مقادیر متفاوتی رو نشون میده به علت اختلاف در ایستادن روی سطح ترازو هستش و در حد چند صد گرم میباشد و از یک کیلو بیشتر نیس گرچه شکل ترازو مزیت حساب نمیشه ولی طراحی شیکی داره و یه ترازوی متوسط هستش و برای استفاده در خونه فک کنم دقتش قابل قبوله ,ترازوی,neutral,"['وزن کشی: Negative', 'شکل ترازو: Neutral', 'yorduایی: Positive', ' Design: Positive', ' دقت: Positive']"
با سلام ببینید دوستان این لپ تاپ هرچی هم که باشه واقعا با این قیمتی که یه گوشی هوآوی بدرد نخور هم بهتون نمیدن بازم خوبه این لپ تاپ کیفیت صفحه نمایش خوبی داره از لحاظ ظاهری هم خوشگله سرعتش هم تقریبا خوبه و من تو این سه روز هنگ ازش ندیم ولی بزرگترین ایرادش کیفیت ساخت فوق العاده بدش هست بطوری که وقتی میخواید لپ تاپ رو ببندید و باز کنید واقعا استرس بدی بهتون وارد میشه که هر آن ممکنه بشکنه و همینم هست!!! تو این سه روز دوتا ترک نه چندان کوچیک روی لپ تاپ منم به وجود اومده با این که خیلی هم با احتیاط باهاش کار کردم. لولا های خیلی خشک و بدی داره. اسپیکر ها هم زیر لپ تاپ هستن که یه نقطه ضعف محسوب میشه. تاچ پدش یکمی گیج میزنه اما اینکه بگم بدرد نخوره اوج نامردیه منو میرسونه!! کلا من سخت افزار تقریبا خوبش کیفیت خوب صفحه نمایش و زیبایی لپ تاپ رو خیلی نقاط عطف خوبی میدونم و واقعا با این قیمت بسیار گزینه ی مناسبی محسوب میشه. بازم میگم واسه من غیر از جنس بدنه و کیفیت ساخت یه لپ تاپ خیلی عالی محسوب میشه اگه مفید بود لایک یادتون نره. موفق باشید ,"لولا های, کیفیت ساخت, تاچ پدش, اسپیکر ها, گوشی هوآوی","negative, negative, negative, negative, negative","['صفحه نمایش: Positive', 'ظاهری: Positive', 'سرعت: Positive', 'جسم: Negative', 'لولا: Negative', 'اسپیکر: Negative', 'تاچ پد: Positive', 'عملی: Positive']"
با سلام برای اون دسته از عزیزانی که شک دارن در خرید این محصول باید عرض کنم که این دستگاه بهترینه برای پاک کردن آرایش توی یک هفته ای که استفاده کردم صورتم صاف شده قبلا با قوی ترین پاک کننده هام تمیزش میکردم در حد یک ساعت تمیز میموند الان دیگه تمیز میمونه انگار معجزه شده خیییییییلی پیشنهاد میکنم به اونایی که مثل من پوست چربی دارن حتما بگیرید تا استفاده نکنی متوجه نمیشی چی میگم در یک کلام دست سازندش درد نکنه فقط کاش برای جدا کردن برس از دستگاه دکمه ای چیزی میزاشت باید محکم بکشیش بیرون مرسی از وقتی که گذاشتین موفق باشین ,این دستگاه,positive,"['دستگاه: Positive', 'آرایش: Positive', 'بارنامه: Negative']"
با سلام بعد از کلی تحقیق این آسیاب رو انتخاب کردم چون بی نظیر هستش و برای منی ک در روز ۴۰ گرم قهوه اسیاب میکنم واسه اسپرسو عالیه فقط توی ۲۰ثانیه قهوه پودر شده یک دست عالی بهتون تحویل میده ,این آسیاب,positive,"['بی نظیر: Positive', 'آسیاب: Positive', 'سرعت: Positive', ' Powdering: Positive']"
با سلام بنده این گوشی رو از دیجی خریدم دمشون گرم ساخت ویتنامو برام فرستادن تشکر میکنم ازشون بخاطر اصلی بودن گوشی وهمین طور گارانتی وسیم کارت همراه اولی که داخل جعبه بود دوستان میخوام بگم اگر تو این رنج قیمت میخوائید گوشی بخرید فقط همین مدل خوبه از هر نظر راضیتون میکنه حرف نداره با خیال راحت بخرید توی محل ساخت چینیشو با گارانتی اینتر گفتن که کیفیته اینو نداره امیدوارم کمکی کرده باشم بازم دمه دیجیکالا گرم با سپاس ,"این گوشی, ساخت چینیشو","positive, negative","['دمشون: Positive', 'ساخت: Positive', ' ویتنامو: Positive', 'فرستادن: Positive', 'garanتی: Positive', 'گارانتی سیم کارت: Positive', 'جعبه: Positive', 'رنج قیمت: Positive', ' $/$ ساخت: Negative']"
با سلام بنده بدلیل فعالیتم در بازار بورس و فارکس، نیاز داشتم که همیشه در لپ تاپم اینترنت همراه داشته باشم و به واسطه ی دوستان با این مودم آشنا شدم. نکته ی جالب اینه که میتونید مثلا مودم رو به دستگاهCDماشین وصل کنید و کل ماشین اینترنت داشته باشه، یا به آداپتور شارژر وصل کنید و کل خونه اینترنت داشته باشه، یا حتی به پاوربانک و یا به کمک رابطOTGبه موبایل وصل کنید. من با خرید این مودم، دیگه برای موبایلم اینترنت نمیخرم. بسیار از کیفیت و سرعت مودم راضی ام و نیازهامو در سطح متوسط و بالاتر رفع کرده و تنها مشکلش عدم وجود قابلیت وارد کردن کدهایUSSDهست که بهترین راه حل فکر میکنم خرید اینترنتی بسته های اینترنتی هست. همچنین این مودم قابلیت مک فیلترینگ (افزودن مک آدرس) داره و همراهش یه سیمکارت ایرانسل هدیه داره. ,"سرعت, کیفیت, مودم, مک فیلترینگ","positive, positive, positive, positive","['شب Net: Positive', 'سرعت: Positive', '品質: Positive', ' macrophages: Positive', 'سیم کارت: Positive', 'باقی‌مانده: Negative']"
با سلام بنده بعد از چند ماه تحقیق این مدل رو گرفتم البته ترجیح دادم به جای یک دریل پیچ گوشتی شارژی گران قیمت یک دریل (برقی) مطمئنتر از لحاظ قدرت بگیرم و یک دریل پیچگوشتی شارژی فقط برای پیچها و کارای سبک و چوبی بنده خودم روی برندهای ژاپنی تعصب دارم اما نظرمرو بعد از ۲ روز استفاده بدون تعصب میگم این دستگاه قدرت خوبی داره نسبت به باطری و توانش اما کیفیت پلاستیکی بدنه جالب نیست جنس پلاستیک کیف هم همینطور -اما از نظر فنی قابل قبول بود سریهای پیچ گوشتی هم متوسط بود با یک ساعت شارژ ۲٫۳ ساعت کار مداوم انجام دادم و مشکلی نداشت در مجموع با توجه به قیمت بسیار قابل قبول و خرید خوبی بود (البته در شگفت انگیز) ممنون از دیجی واسه ارسال خوبش ,سریهای پیچ گوشتی,neutral,"['قدرت: Positive', 'باتری: Negative', ' Plastic Quality: Negative', 'Series of screwdriver: Average', 'Charging time: Positive', 'Working time: Positive']"
"با سلام به دوستان اینکه گوشی در مقایسه با A۵ ۲۰۱۷ دو ویژگی خوب دارد: ۱. صفحه بزرگتر ۲. قدرت بیشتر باتری لذا این گوشی برای کسانی که بیشتر از نوشتن و خواندن متن و یا دیدن ویدیو و عکس استفاده می کنند بسیار مناسبتر از A۵ ۲۰۱۷ است. در ضمن با اینکه در مشخصات بسیاری با هم فرق ندارند، ولی ممکن است در واقع A۷ ۲۰۱۷ با کیفیت تر و کمی سرتر باشد. با تشکر "" انتخاب ما همین است "" ","A۷ ۲۰۱۷, باتری, گوشی, صفحه, A۵ ۲۰۱۷","positive, positive, positive, positive, negative","[' صفحه: Positive', 'قدرت باتری: Positive']"
با سلام به دوستان در جواب دوستی که قیمت ویندوز دستگاه رو یک میلیون برآورد کردن این ویندوزها اورجینال نبوده و از لحاظ قیمت شرکت های گارانتی کننده با دریافت ۴۰ هزار تومان همین ویندوز رو نصب میکنن ویندوز اورجینال ویندوزی است که دارای لایسنس بوده وفقط بروی یک دستگاه نصب میشود در صورتی که این ویندوز بروی تمامی مدل های این دستگاه نصب است دستگاه فقط دارای گرافیک جدیدی است که قوی بوده ولی با این بدنه پلاستیکی ضعیف کاربردی در دراز مدت ندارد در مقابل میتوان با همین مبلغ مدل GE۶۲ ام اس ای رو گرفت که دارای سی پی یو نسل هفت بوده دارای رم جدید ۲۴۰۰ است - ssd داره با تکنولو‍ژی MVME- سیستم خنک کنندگی بسیار پیشرفته و …. ,بدنه پلاستیکی,negative,"['قیمت: Negative', 'گارانتی: Positive', 'لایسنس: Negative', 'بدنه: Negative', 'سی پی یو: Positive', 'رم: Positive', 'ssd: Positive', 'خنک کنندگی: Positive']"
با سلام به دوستان دیجی کالایی. من از روزی که این گوشی اومد تا الان تمام نقد و بررسی دوستان رو زیر نظر داشتم. تمامی نظرات دوستان محترم. ولی من بعد کلی تحقیق در سایت های مختلف مثل اپارات وغیره متوجه ضعف هایی در این گوشی شدم. البته تو رنج خودش بهترینه. ولی من از خرید این گوشی منصرف شدم به چند دلیل. واقعی نبودن دوربین ها. پردازنده ۸ هسته ایی نسبتا قوی با یک کلاک ۱٫۹. صفحه کوچک. ب قیمت ۱۳۰۰ تصمیم گرفتم s۶ edge plus رو بگیرم. درسته برای سال ۲۰۱۵ ولی به جرات میگم از s۸هم بهتره. بهترین دوربین سال. پردازنده۸ هسته ایی با دو کلاک۱٫۵و۲٫۱. امکانات اج بودن صفحه. بزرگ بودن صفحه وکیفیت بینظر ان. رم۴. فینگر پرینت بسیار دقیق. فیلم برداری ۴k. کیفیت تصویر UHD. و ….. من s۶edge plusرو با کلی جستجو تو سایت دیوار وشیپور از کسی که از سایت دیجی کالا خریده بود و گارانتی گوشی هنوز باقی مونده بود خریدم. s۶edge plusبا اینکه تولید ۲۰۱۵ولی این گوشی رو قورت میده. حتیs۷وs۸رو. حالا بقیه برندها بماند که به گرد سامسونگ نمیرسند. هر کی موافقه بزنه رولایک. موفق باشید. ,"بقیه برندها, صفحه, این گوشی, دوربین ها., این گوشی","negative, negative, negative, negative, negative","['درواز: Negative', 'پردازنده: Positive', 'صفحه: Positive', 'قیم: Negative', 'د فیلمبرداری: Positive', 'تصویر: Positive', 'نمایش: Positive', 'رم: Positive', ' Finance پرینت: Positive']"
با سلام به دوستان من این گوشی رو چند ماهی است که دارم گوشی خوبی هست البته با قیمت قبل خریدم اون موقع ازش خرید داشت. تنها چیزی که نداره و ای کاش که داشت سنسور نور هست که با نداشتنش دو روزه عادت کردم ولی در برنامه هایی مثل تلگرام که با نور محیط خودشون رو تطبیق میدن و رنگ نوشته ها رو واسه شب یا روز تنظیم میکنه به مشکل بر خوردم و تنظیم ساعتی اون رو انتخاب کردم (از ساعت که هوا تاریک میشه تا ساعتی که هوا روشن میشه تم شب و بعد از اون تم روز فعال میشه). ***بر خلاف توضیحات دیجی کالا این گوشی رادیو دارد و تا ۱۰ لمس همزمان رو دریافت میکنه. *** اثر انگشت فوق سریع داره که وقتی صفحه گوشی خاموش هم هست با یه تاچ سریع روی کلید هوم باز میشه!!! جی پی اس (GPS) سریع و قوی داره. آنتن دهی خوبی داره که خیلی جا ها که گوشی های دیگه آنتن نمیدن این گوشی آنتن داره. در کل پیشنهاد خرید رو میدم حتما. ,"جی پی اس, اثر انگشت, آنتن دهی","positive, positive, positive","[' RelativeLayout: Positive', 'صداگیری: Positive', 'GPS: Positive', 'انتن: Positive', '效ات: Positive', 'باتری: Negative']"
با سلام به دوستان والبته آقا علی اکبر من این کالارو دو روز هست که خریدم و باید بگم که با توجه به قیمت مناسب کیفیت خوب و بیس خوبی داره البته بهتر از این هم خیلی هست ولی تو این رنج قیمت فکر کنم این بهترینه در کل اگه قصد خرید دارید من اینو پیشنهاد میکنم. با تشکر از دیجی کالا ,این کالارو,positive,"['قیمت: Positive', '品質: Positive', 'بیس: Positive']"
با سلام به دوستان. شاید علت داغ شدن مودم همراه بعضی از دوستان اینه که به شارژر با آمپراژ بالای ۱ آمپر وصل کردن. یکبار به شارژر ۱ آمپری وصلش کنید ببینید هنوز داغ میشه یا نه. ,مودم,negative,"['شارژر: Positive', 'آمپراژ: Positive']"
با سلام به دیجی کالاییهای عزیز من سه هفته پیش به دستم رسید مثل همیشه با بسته بندی شکیل دیجی کالا! ظاهر لپ تاپ بسیار بسیار زیباست صفحه نمایشش واقعا عالیه و زاویه دید فوق العاده بالایی داره (دیدن فیلم و بازیهای گرافیکی با این لپ تاپ خیلی لذت بخشه) اسپیکرjbl این لپ تاپ یه چیزی فراتر از انتظاره وضوح صدای بسیار بالا و خروجی صدای عالی کیبورد با کیفیتی داره و نور پس زمینه قرمزی که داره زیبایی خاصی به لپ تاپ داده اما تاچ پدش میتونست بهتر باشه موقع استفاده کمی صدای تق میده! ماوس و ماوس پدی که همراهش هست مطمئنا شمارم مثل من متحیر میکنه بعد از استفاده ادم تازه متوجه تفاوت این ماوس با ماوسهای معمولی میشه خیلی معرکه است اما درایو اکسترنالش در حد متوسطه! پردازنده مرکزی۶۷۰۰hq و حافظه ddr۴ و پردارنده گرافیکی ۴g همگی دست به دست هم دادند تا این لپ تاپ بتونه تمامی بازیهای روز رو بالا بیاره الان من بازیهای gta v و call of duty black ops iii و mafia iii و pes ۲۰۱۷ و ۲ watch dogs و نرم افزار autodesk maya ۲۰۱۷ رو دارم همشونم خیلی روان بالا میاره فقط توصیه میکنم که حتما حتما موقع انجام بازیهای گرافیکی سنگین از یک خنک کننده قوی (که من مدلهای۴فن رو پیشنهاد میکنم) استفاده کنین و حتما درایور لپ تاپتونو از سایت خود لنوو دانلود و نصب کنید ممنون از دیجی ,درایو اکسترنالش,neutral,"['ظاهرش: Positive', 'ص صفحه نمایش: Positive', 'زاویه دید: Positive', 'اسپیکر: Positive', 'ضضوح صدا: Positive', 'کیبورد: Positive', ' نور پس زمینه: Positive', 'تاچ پد: Negative', 'ماوس: Positive', 'درایو: Negative', 'پردازنده: Positive', 'حافظه: Positive', 'پردارنده گرافیکی: Positive']"
با سلام به مشتاقان کتاب خواندن یا کتاب شنیدن به نظر من ترجمه این کتاب مناسب عموم نیست و برای مخاطب عام؛ درک ان بویژه که لغات و نوشتار را هم نمیبینید و فقط میشنوید خیلی جذاب نیست برای مخاطب خاص که به حرفههای امروزی که نیازمند وبسایت و فروش الکترونیکی و … وابسته باشند خیلی کتاب عالی است ولی برای سایرین بنظرم کتاب متوسطی است البته از نظر شخصی من اگر از یک کتاب فقط یک نکته را یاد بگیرید حتما ان کتاب ارزش خریدن دارد! ,کتاب,neutral,"['ترجمه: Negative', 'لغات و نوشتار: Negative', 'محتوى: Positive', 'وب Site و فروش الکترونیکی: Positive', 'تقریبات: Negative']"
با سلام به نظرم اگه با وزنش مشکلی ندارید خوبه نسبت به قیمتش بهترینه شارژ گوشی رو هم با سرعت متوسط انجام میده و فست شارژ الکی که درصد فیک میده نیست ,سرعت,neutral,"['وزن: Neutral', ' Charge سرعت: Positive', ' Charge فست: Negative']"
با سلام به همراهان همیشگی دیجی کالا من این ادکلن را منزل یکی از همکارانم دیدم و با اجازهاش تست کردم به نظرم این ادکلن بوی خیلی جالبی داشت ولی چون خودم استفاده کردم نمیتوانستم متوجه پخش بوی ان شوم وای با پرسش از بقیه فکرکنم پخش بوی ان متوسط باشد و ماندگاری ,پخش بوی ان,neutral,"['بوی: Positive', 'پخش بوی: Negative', 'ماندگاری: Negative']"
با سلام به همه دوستان نوکیا همیشه نوکیا است یه مدتی هست که گرفتم منوی فارسی ایران نداره و در صورت فارسی کردن پیش فرض افغانستان میشه که ایجاد مشکل میکنه من راه حلی پیدا نکردم اگر کسی بلد هست عنوان کنه بهتر که از زبان انگلیسی استفاده بشه صفحه کلید مشکلی نداره با یه برنامه کمکی بهتر هم میشه خیلی سخت آپدیت میشه طراحی واقعا زیباست و کیفیت ساخت بالا به نسبت قیمت گوشی خیلی خوبیه ,"صفحه کلید, نوکیا, قیمت گوشی, طراحی, کیفیت ساخت","positive, positive, positive, positive, positive","['مدتی: Negative', 'منوی فارسی: Negative', ' Afghanistan: Positive', 'برنامه کمکی: Positive', ' Design: Positive', 'Quality: Positive', 'Price: Positive']"
با سلام تعجب میکنم از کامنتای بعضی دوستان! برخلاف گفته های بعضی از دوستان این مودم هم کیفیت ساخت خوبی داره هم رنگ سفیدش اون رو بسیار جذاب میکنه و هم قابلیت ussd برای فعال سازی طرح های اینترنت داره و همچنین قیمتش نسب به کارایی اون مناسبه. این مودم ساخته شده برای افراد دانلودر مثل که میخوان اینترنت رو بپوکونن ,"کیفیت ساخت, مودم, رنگ سفیدش, قیمتش","positive, positive, positive, positive","['مدود: Positive', 'رنگ: Positive', ' Usdd: Positive', ' کارایی: Positive']"
با سلام تقریبا سه ماه پیش این گوشی رو از دیجیکالا خریدم اولین نکته بسته بندی شیک و کامل شرکت هواوی بود که کاملا منو شگفت زده کرد و در نگاه اول بسیار حس خوبی رو منتقل کرد لوازم داخل جعبه شامل گوشی شارژر هنزفری قاب محافظ گوشی و دفترچه اطلاعات هرکدام داخل یک جعبه مجزا قرار داشتند و بسیار بسته بندی خوبی داشت متاسفانه لوازم جانبی گوشی اصلا در بازار (مشهد) نبود و به لطف استفاده از محافظ گلس یک گوشی دیگه و قاب پشتی ای که داخل خود جعبه بودگوشی رو راه انداختم البته به علت انحنای لبههای کناری گوشی گلس به طور کامل روی صفحه نمیچشبه که باید حتما از گلس ۳d استفاده کنید که تازگی تو بازار پیداش کردم و کیفیت متوسطی داره ولی از قبلی بهتره ظاهر و کیفیت ساخت گوشی واقعا عالی هست و جایی برای صحبت نمیزاره باتری بسیار خوب هست و با اینکه فست شارژ نیست ولی سریع شارژ میشه و حداقل ۲۴ ساعت جواب استفاده معمولی (استفاده دائم از دیتا یا وای فای وبگردی بازی انلاین و …) رو مید صفحه نمایش کیفیت خوبی داره ولی زیر نور مستقیم خورشید واقعا خوب نیست و سخت میشه استفاده کرد دوربین پشت و سلفی کیفیت مناسبی داره و من ایراد خاصی ازش ندیدم (البته من خیلی اهل عکس گرفتن نیستم) سنسور اثر انگشت هم عالی کار میکنه و تنها ایرادش اینه که پشت گوشی هست که البته سلیقهای هست تنها ایرادهای نرم افزاری که از گوشی دیدم نداشتن double touch هست که اکثر مدلای هواوی دارن ولی متاسفانه این مدل نداره و من بهش عادت داشتم و امیدوارم در اپدیت گوشی اونم بهش اضافه بشه و ایراد دیگه اینکه متاسفانه تنظیمات نوتیفیکیشن گوشی درست عمل نمیکنه و مثلا با اینکه نوتیفیکیشن تلگرام در خود گوشی و در تلگرام فعاله ولی بازم پیغامی نمیده یا مثلا برای نشون دادن تقویم بجای روز ماه فقط علامت اپلیکیشن رو نشون میده در کل خوبیهاش به معایبش میچربه و من از استفاده از گوشی راضی ام و به بقیه هم توصیه میکنم ببخشید که طولانی شد امیدوارم که راهنمای خوبی برای کسانی که قصد خرید دارن باشه ممنون از دیجی کالا ,کیفیت,neutral,"['پ box: Positive', 'شfährt: Positive', 'شارژر: Positive', 'şam:** Negative', 'ق içerisانی: Positive', 'گلس: Negative', 'سنسور اثر انگشت: Positive', 'تنظیمات: Negative', 'نوتیفیکیشن: Negative']"
با سلام تلوزیون خوبیه برای دفتر کار گرفتم فیلمهای که با کیفیت اچ دی ویا فول اچ دی هستند خیلی عالی نشون میده ,تلوزیون,positive,"['تلوزیون: Positive', '品質: Positive', 'فیلم: Positive']"
