sentence,aspect,polarity,LLM_aspect
با سری های مختلف درون جعبه امتحان کردم ولی واقعا درون گوش فیت نمیشه و من باهاش راحت نیستم سیمش کوتاهه ولی کیفیت صداش خوبه ,"صداش, سیمش","positive, negative","['سری های مختلف: Neutral', 'گوش فیت: Negative', 'سیم: Neutral', 'کیفیت صدا: Positive']"
با سلام  من چند روزی با این گوشی ور رفتم ولی نخریدم که بتونم کامله کامل نقدش کنم و چیزایی که فهمیدمو مینویسم  اول از همه ظاهر: ظاهر خوشگلی داره و خوشدسته و سبک اما همزمان که دست گرفتنش لذت بخشه ولی یکم باعث میشه احساس کنید کیفیت ساختش متوسطه و عالی نیست  نرم افزاری: گوشی روان کار میکنه رابط کاربری خوبی داره خیلی حرفه ایی نیست ولی از اندروید خام بهتره و راضی کنندس نگران نباشد  بازی سنگین راحت اجرا کرد هنگی چیزی من ندیدم ازش البته شاید یک صدم ثانیه نسبت به گوشی خودم دیرتر برنامه هارو باز و اجرا کرد  سخت افزار: اگه با مدیاتک و مصرف زیاد و داغ شدنش (خیلی کم داغ میشه) مشکلی ندارید خوبه و پردازشش مشکلی نداره از نظر من تنها مشکل سخت افزاریش تاچشه که ضعیفه مخصوصا اگه گلس بندازید دیگه شاید اذیت بکنه ولی بدون گلس اذیت نمیکنه اما از ضعیف بودن تاچش در همون چند دقیقه اول متوجه میشید (در مورد داغ شدن گوشی نگران نباشد الان اکثر مدلها داغ میشن مخصوصا وقت سارژ یا بازی سنگین از۴۸درجه بالاتر نگران کنندس)  باطری: در این مورد زیاد مطمئن نیستم ولی انگار شارژش بد نیست و معمولیه نه بد خالی میکنه نه خیلی عالی نگه میداره   دوربین: راستش بد نبود ولی خوب هم نبود چون من دوربین ۸ دیدم که خیلی عالی عکس میندازه ولی دوربین۱۶ هم افتضاحه بوده  پس دوربین این نه عالیه و نه افتضاح  قیمت: مهمترین فاکتور خرید گوشیهای گمنام قیمتشونه که باعث میشه شما ریسک کنید و بخریدش وگرنه اگه قراره با برندهای معروف در این رنج امکانات اختلاف قیمت زیادی نداشته باشه خب همه میرن سراغ همون سامسونگ و هواوی و شیائومی و نوکیا و الجی که حداقل قطعات و لوازم جانبیشون گیر بیاد پس باید قیمت خیلی مناسبی داشته باشه که این گوشی در ابتدا قیمتش مناسب بود خدایی ولی الان به نظر شخصی من ارزش خرید نداره و توجیح نداره البته امیدواریم این حباب قیمت بخاطر طرح ریجستر و افزایش قیمت دلار زودتر بترکه و قیمتها معقول بشن و با کدهای تخفیف دیجی کالا و همچنین قیمت مناسب دیجی کالا بتونیم خرید شیرین و با ارزشی انجام بدیم  این نکته رو بگم که قیمت دیجی کالا حتی الانم با این افزایش از بازار خیلی مناسبتره و باعث دلگرمیه که خیالمون راحتتره  ببخشید اگه طولانی شد خواستم کامل توضیح بدم که در خرید دوستان حداقل کمکی کرده باشم  باتشکر از دیجی کالای عزیز  و با تشکر از کسایی که خوندن  یا علی ,کیفیت ساختش,neutral,"['ظاهر: Positive', 'نرم افزاری: Neutral', 'سخت افزار: Positive', 'باطری: Neutral', 'قیمت: Negative', 'دوربین: Neutral']"
با سلام  چند روزی هست که این مودم با سیم کارت ایرانسل دیگه خوب کار نمیکنه و فقط تلگرام رو ساپورت میکنه ولی قبلا خیلی خوب بود.   نه سایتی باز میکنه نه برنامه ای حتی برنامه ایرانسل من رو هم ارور میده.   زنگ زدم ایرانسل میگه این مدل چون جزء محصولات ما نیست پشتیبانی نمیشه دیگه و شما از مودمهای ماباید خریداری کنید. ,این مودم,negative,"['مودم: Negative', 'سیم کارت ایرانسل: Negative', 'پشتیبانی: Negative']"
با سلام  چون برای خرید هر محصول میام نظرات دوستان و میخونم وظیفه ی خودم دونستم نظرمو بگم.   اول اینکه واقعا موندم یه ذره دستگاه این قدرت و از کجا آورده. دوستان تو کارکرد دستگاه حتی یه لحظه شک نکنید. من گوشی خودم یه مودم cat ۶ داره که از لحاظ آماری باید سرعت دانلودش از این مودم بیشتر باشه اما جالبه بدونین نهایت سرعت دانلود من با گوشی به شش مگابایت بر ثانیه میرسید اما این مودم تو شرایط یکسان ۹ مگابایت رو هم رد میکنه!!   برای اینکه اشتباه نکنید با مگابیت یعنی تو یک ثانیه ۹ مگابایت دانلود میکنه که واقعا جای هیچ حرفی رو نمیزاره توضیحات کامل تر و دوستان دادن فقط پولتونو برا خرید مودمای به اصطلاح ۴٫۵ دور نریزین ایران چیزی به اسم ۴٫۵ نداره و تو خرید مودم یک ثانیه شک نکنین ,مودم,positive,"['مودم: Positive', 'قیمت: Neutral']"
با سلام -این محصول از زیبایی و کارایی خوبی برخوردار است-ساخت ان کمی ظریف است و در استفاده از ان باید کمی دقت کرد-سرعت رایت دی وی دی کمی پایین است اما دستگاه عملکرد خوبی دارد و رایت و خواندن بخوبی انجام میشود-در کل محصول متوسطی است و قابل پیشنهاد است ,محصول,neutral,"[زيبایی و کارایی خوب: Positive]
[ساخت ان کمی ظریف است: Neutral]
[سرعت رایت دی وی دی کم: Negative]
[دستگاه عملکرد خوبی دارد: Positive]
[رایت و خواندن بخوبی انجام میشود: Positive]
[در کل محصول متوسطی است: Neutral]
[قابل پیشنهاد است: Positive]"
با سلام ابتدا با توجه به پولی که هزینه میکنید باید توقع داشته باشید اما در کل بوی مناسبی داره پخش بو و ماندگاری متوسطی دا ره در کل ارزش خرید داره ,ماندگاری,neutral,"['پولی که هزینه میدهند: Neutral', 'بوی مناسبی: Positive', 'پخش بو: Positive', ' ماندگاری متوسط: Neutral', 'ارزش خرید: Positive']"
با سلام ادکلن خوشبویی هست بر خلاف نظر بعضی دوستان البته رایحه سلیقهای هست ولی ولی در کل بوی کلاسیک همراه با مدرنیته داره ومن از بوش راضیم ولی پخش بو وبسیار ضعیف و ماندگاری متوسط داره در کل با توجه به قیمت پیشنهاد یلدا بد نیست ,ماندگاری,neutral,"['ادکلن: Positive', 'رایحه سلیقهای: Positive', 'بوی کلاسیک همراه با مدرنیته: Positive', 'پخش بو وبسیار ضعیف: Negative', 'ماندگاری متوسط: Neutral']"
با سلام ارزش خرید این محصول در پیشنهاد ویژه بسیار بالا می باشد کیفیت صدای بسیار خوبی دارد نحوه قرارگیری درون گوش عالی است و امکان ندارد هنگام دویدن از گوش خارج شود دارای وزن کم و شارژدهی مناسب می باشد مقدار بیس آن نسبت به هندفری های دیگر کم می باشد ,این محصول,positive,"['ارزش خرید: Positive', 'ق کیفیت صدای: Positive', 'نحوه قرارگیری درون گوش: Positive', 'وزن کم و شارژدهی مناسب: Positive', 'مقدار بیس: Negative']"
با سلام الان ۹ ماهه دارم ازش استفاده میکنم و در کل تجربه استفاده از گوشی های مختلف هم زیاد داشتم ولی واقعا از این گوشی راضیم و حالا حالا ها نگهش میدارم. گوشی بسیار خوبی و مطمنن از خریدش راضی خواهید بود. ,این گوشی,positive,"['گوشی: Positive', 'قیمت: Neutral']"
با سلام امروز به دستم رسید از نظر امکانات خیلی خوبه طراحیشم حرف نداره اندازشم متوسطه اگه شک دارین در خریدش از خریدش پشیمون نمیشید با تشکر از دیجیکالا بابت سیستم تحویل خوب و بسته بندیش عالیش ,اندازشم,neutral,"[product name]: Positive
امکانات: Positive
طراحی: Positive
اندازه: Neutral
خرید: Neutral (but with a hint of positivity due to the phrase ""از خریدش پشیمون نمیشید"")
سистем تحویل: Positive
بسته بندی: Positive


Note that aspect extraction and sentiment analysis are subjective tasks, and different tools or individuals might have slightly different outputs. The above output is based on my understanding of the review in Persian."
با سلام امروز تحویل گرفتم احساس کردم از لحاظ دقت گام شمار دارای اشتباه است که البته در روزهای آینده بهتر مشخص میشه. در خصوص ظاهر و ویژگی هایی که تو این رده هستند کامل و به نظرم قشنگه. فقط امیدوارم که دستبندش زود پاره نشه که البته فکر کنم که ضد حساسیتم نیست. ,دقت گام شمار,negative,"[گام شمار: Neutral]
[ظاهر و ویژگی هایی که تو این رده هستند: Positive]
[دستبندش: Negative]"
با سلام امروز روز سوم بود که از این گوشی استفاده کردم و معایب و محاسن رو براتون نوشتم گوشی با کیفیت و خوبی هست. محاسن زیادی داره که توی قسمت نقاط قوت بهشون اشاره کردم. از دوربینش باید انتظار زیادی نداسته باشید. الباقی موارد تقریبا عالی هستن باطری بسیار بسیار خوبی داره. با یک بار شارژ و استفاده متعارف و روزمره با ۴g دائما روسن حدود ۲ روز کار کرد که فوق العاده است کیفیت مکالمه عالیه صفحه نمایش بسیار خوبه رابط کاربری جدید عالیه و جذاب سرعت شارژش از ۰ تا ۱۰۰ حدود ۱:۴۵ هست دوربین معمولیه. با توجه به قیمت های فعلی هم a۷ ۲۰۱۷ و هم a۵ ۲۰۱۷ ارزش خرید بالایی دارن ضمنا سعی کنید حتما با گارانتی معتبر تهیه کنید این نظر رو نوشتم تا شاید کمکی باشه برای علاقمندان در انتخابشون متشکرم که خوندید! ,دوربین,neutral,"['گوشی: Positive', 
'قیمت: Neutral', 
'دوربین: Neutral', 
'باتری: Positive', 
'رابط کاربری: Positive', 
'صفحه نمایش: Positive', 
'سPEED شارژ: Positive']"
با سلام امروزه اغلب فشارسنجهای موجود در بازار ساخت چین و تحت لیسانس میباشد فشار سنج متوسطی هستش و بخاطر داشتن اداپتور و صفحه نمایش بزرگ برای افراد سالخورده مناسب هست جنس بدنه و مخصوصا کاف زیاد خوب نیس ولی برای استفاده خانگی جواب میده و دقت قابل قبولی داره در مقایسه با فشارسنج اصل المانی ضربان را دقیق نشون میده ولی فشار رو با یک واحد اختلاف که البته اونم نسبی هستش ,فشار سنج,neutral,"['فشارسنج: Neutral', 'اداپتور: Positive', 'صفحه نمایش بزرگ: Positive', 'جنس بدنه: Negative', 'کاف: Negative']"
با سلام اول از همه دوربین جلوی افتضااااااح ینی اگه داری سلفی میگیری خودت فقط معلومی بقل دستیات به صورت کامل تار هستند!!!! دوربین عقب هم فقط برا عکاسی ماکرو خوبه!! (به دلیل بالا بودن رزلوشن دوربین کیفیت خوبی داره) دیدم که میگم! حافظه داخلی کم (نسبت به پولی ک داری میدی) با این هزینه گزینه های بهتری روی میزه ینی اگه به عکاسی علاقه داری نخر که دلتو میزنه تعصبی هم نیستم که طرفداری برند های دیگه ای رو بکنم ولی عاقلانه خرید کنید! پول برند ندید ,"دوربین عقب, حافظه داخلی, دوربین جلوی","positive, negative, negative","['دوربین جلوی: Positive', 'دوربین عقب: Positive', 'حافظه داخلی: Neutral/Negative', 'قیمت: Negative']"
با سلام اولا از دیجی کالا برای سرعت عمل و کیفیت بالای خدمت رسانی تشکر می کنم  در خصوص خرید این کالا چون من برای جهیزیه می خواستم دنبال چنین سرویسی بودم ولی متاسفانه جنس رویه سرویس که مات هست باعث می شود که زودی روش خط و خش می افتد و ظاهرش رو سریع خراب میکند طوری که من ناخن کشیدم روی قاشق جاش خشش موند و چون این یه وسیله ای هست که دائما به بشقاب و میز و … می خوره احتمال اینکه ظاهرش سریع خش و خورده بشه هست.   اگه یه سرویسی باشه که روش استیل خالص باشه یه طرش جوری باشه که زود خراب نشه بهتره. ,جنس رویه سرویس,negative,"['دیجی کالا: Positive', 'قاشق جاش خشش موند: Negative', 'ظاهر: Negative']"
با سلام اگر بخواهیم منصفانه قضاوت کنیم این گوشی با توجه به قیمت کارایی و عملکرد مناسبی دارد کیفیت صفحه نمایش و نور ان در حد متوسط و راضی کننده است سرعت اینترنت نسبتا خوب و در کارهای روزمره هنگ و لگی دیده نمیشود فقط تنها نقاط ضعف یکی دوربین و یکی باطری است که با توجه به قیمت طبیعی است ,کیفیت صفحه نمایش,neutral,"['گوشی: Neutral', 'قیمت: Neutral', 'کارایی و عملکرد: Positive', 'صفحه نمایش: Average', 'نور: Average', ' سرعت اینترنت: Positive', 'دوربین: Negative', 'باطری: Negative']"
با سلام اگه میخوان پولتون رو دور بریزید از این گوشی بخرید از دستم افتاد روی فرش نصف صفحش سوخت موقع تماس هم صدای خش میده ,این گوشی,negative,"['گوشی: Negative', 'صفحش: Negative', 'صدای خش میده: Negative']"
با سلام این تبلت را حدود دو هفته پیش از دیجی کالا سفارش دادم و هم از تحویل بسته و هم خود محصول راضی هستم در حدود دو هفته کار از هر لحاظ البته به نسبت قیمتی که براش پرداخت کردم راضی هستم کیفیت و نور صفحه نمایش در حد متوسط هست صدای اسپیکر هم چندان جالب نیست دوربینش هم فقط کار راه اندازه فقط کم بودن حافظه داخلی و باتری ضعیف رو میشه براش خرده ایراد گرفت که اونم تو این رنج قیمت به نظر من قابل چشم پوشی هست در کل به نظر من برای خرید نسبت به قیمتش ارزش داره ,نور صفحه نمایش,neutral,"['تبلت: Positive', 'تحویل بسته: Positive', 'محصول: Positive', 'نور صفحه نمایش: Average (Positive)', 'صدا: Neutral', 'دوربین: Average (Neutral)', 'حافظه داخلی: Negative', 'باتری: Negative']"
با سلام این دستگاه برای پوست صورت ساخته شده و همین قدرت متوسط هم اگر بیش از یک دقیقه استفاده بشه پوست رو حساس میکنه در ضمن قیمتش مخصوصا با تخفیفی که خورده اصلا با براون قابل قیاس نیست. در کل در رنج خودش کارش رو خیلی خوب انجام میده و پوست رو کاملا تمیز و لایه برداری میکنه. توصیه میکنم بعد از استفاده حتما از ماسک های آب رسان. مرطوب کننده استفاده بشه. چون چربی پوست رو کاملا می گیره و این میزان خشکی پوست در دراز مدت باعث ایجاد چروک میشه. ,این دستگاه,positive,"[دستگاه, Power, Skin: Negative]
[قیمت: Negative]
[کارش: Positive]
[پوست: Neutral]
ماسک های آب رسان, مرطوب کننده: Neutral]"
با سلام این سیم کیفیتش عالیه مخصوصا برای کسایی که بچه های شیطونی دارن ونگرانی در مورد قطع شدن سیم دارند نگرانیشون برطرف میشه سرعت شارژش عالیه و کیفیتشم خوبه ,"کیفیتش, کیفیتشم, سرعت","positive, positive, positive",['سیم: Positive']
با سلام این محصول ایرانی نیست و ساخت چینه. اگه شما فکر میکنید تلویزیون یا محصولات دیگه با نام X. Vision ساخت ایرانه بازم اشتباه میکنید. ایران فقط اینارو مونتاژ و گارانتی میکنه و در اختیار مردم میذاره. البته من این کالا رو در پیشنهاد خریدم و واقعا از خریدم راضیم. نسبت به قیمتش واقعا عالیه. در خریدش شک نکنید با تشکر ,"این کالا, قیمتش","positive, positive","['محصول ایرانی نیست و ساخت چینه: Negative', 'قیمت: Positive']"
با سلام این محصول رو به عنوان هدیه گرفتم برای یکی از دوستانم خب انتظار چندانی ازش نمیره با توجه به قیمتش کیفیت صداش هم متوسط هست ولی بیشتر برای سرهای بزرگ مناسبه درکل اگه سخت گیر نباشی راضیت میکنه فکر میکنم اگه تو تخفیف شگفت انگیز بتونی بخری خیلی ارزش خرید بالاتری داشته باشه ,کیفیت صداش,neutral,"['محصول: Neutral', 'قیمت: Neutral', 'صدا: Average (Positive)', 'سرهای بزرگ: Positive', 'تخفیف: Positive']"
با سلام این مطلب رو برای اون دسته از دوستانی میزارم که میخوان مودم خوب، بصرفه و با امکانات معقول بخرن من حدود ۹ماه این مودم رو خریدم البته باقیمتی کمتر از این، قبل اون هم با کلی مودم کار کردم از وایرلس بگیر تا usb … ۱-مکانی که گوشی آنتن ضعیف بود این مودم آنتن قابل قبولی داشت ۲-راحت میشه به یه پاور بانک وصلش کرد و همه جا برد (به شارژر موبایل به راحتی وصل میشه، داخل ماشین هم میشه استفاده کرد ۳-اگه با سیم کارت ایرانسل میخوایین استفاده کنین با برنامه ایرانسل من راحت میشه شارژ خرید ۴-برنامه hi link هواوی رو هم نصب کنید راحت میتونید هر تنظیمی که میخوایین روی مودم انجام بدین به نظر شخصی این مدل خیلی بهتر از مدل های گرون قیمت هست ,مودم,positive,"['مودم: Positive', 'آنتن مودم: Positive', 'راحت استفاده از پاور بانک: Positive', 'قابلیت شارژ خرید با سیم کارت ایرانسل: Neutral', 'برنامه hi link هواوی: Positive', 'قیمت: Better than expected']"
با سلام این نقد رو بعد از تحویل گرفتن نوشتم من از دیجیکالا خرید نکردم و از بازار خریدم و رنگ آبی هم هست اولش شک داشتم اما واقعا رنگ آبی ش از همه رنگ ها زیبا تره و کیفیت صفحه نمایشش عالیه من این لبتاپ رو به عنوان دم دستی گرفتم و لبتاپ اصلی ام lenovo y۷۰۰ ه این لبتاپ از نظر کیفیت صفحه چیزی از y۷۰۰ کم نداره! با اینکه حدود اختلاف قیمت دارند!!!!! اما از نظر سخت افزار رام اش خیلی پایینه و هم چنین حافظه داخلی اش اذیت کننده است اما به نظر من خیلی وسیله بدرد بخوریه. ,"حافظه داخلی, رام اش, دیجیکالا, بازار","negative, negative, neutral, neutral","['لپتاپ: Overall Positive',
'رنگ آبی لپتاپ: Positive',
'صفحه نمایش لپتاپ: Positive',
'سخت افزار لپتاپ رام: Negative',
'سخت افزار لپتاپ حافظه داخلی: Negative']"
با سلام این هارد بعد از مدتی سرعتش خیلی میاد پایین من ۱۰ عددشو خریدم برای مشتریهام چقدر درگیر شدم و باهاشون بگو مگو کردم چنتاشون زوری پسم دادن و چنتاشون فرستادن گارانتی ,سرعتش,negative,"['هارد: Negative', 'قیمت: Not mentioned']"
با سلام این هدفون امروز ب دستم رسید ارگونومی عالی تا ۱۰ متر هم آنتن میداد فقط اگه چند تا کار با گوشی کنید یک لحظه گیر میکنه فقط همین بهتون پیشنهاد میکنم بخرید ,ارگونومی,positive,"['هدفون: Neutral', 'ارگونومی: Positive', 'آنتن: Positive', 'کار با گوشی: Negative']"
با سلام این پاور کاملا مغایر با توضیحات ارائه شدی در معرفی محصول بوسیله سایت، هست کاملا بی کیفیت هست و خیلی زود خراب می شه میزان واقعی توان این پاور حدود ۶ هزارمیلی آمپر هست ,این پاور,negative,"['پاور: Negative', 'توان پاور: Negative']"
با سلام این پرینترو ۲ هفتس از دیجیکالا خریدم. کیفیت چاپ اون نسبتا خوبه ولی یه مقدار کیفیت رنگ پایین و تصاویر چاپی بی روح هستند. از کاغذ عکس ۲۶۵ گرمی کداک هم که استفاده کردم تغییر چندانی نداشن. از دوستان کسی تنظیمات رنگ و شفافیت چاپ این پرینترو میدونه. ,"کیفیت چاپ, کیفیت رنگ","positive, negative","['پرینتر: Good quality of print, Neutral', 'رنگ: Low quality, Negative', 'تصاویر چاپی: Lifeless, Negative']"
با سلام این چاپ گر من حدود ۳ ماه خریده ام بسیار عالی و مخصوص مصارف خانگی هست و خیلی هم پر کاربرد. بنده پیشنهاد می کنم، برای شارژ کردنش هم با هزینه کم قابل شارژ هست &#۱۷۱;کافی چهار رنگ اصلی زرد، قرمز، ابی و سیاه را که اکثر فروشگاه هم دارند تهیه کرده و با سرنگ دو میلی لیتری به کارتریج تزریق کنید. توضیحات بیشتر در اینترنت گفته اند. &#۱۸۷; هرکس موفق هست لایک کنه ,این چاپ گر,positive,"['چاپ گر: Positive', 'قیمت: Neutral']"
با سلام این چراغ فانوسی تازه به دستم رسیده ساخت چین هست نوردهیش قابل قبوله تو پیشنهاد شگفت انگیز ارزش خرید داره طراحیش خوبه ولی کیفیت بدنه متوسط هست کابل شارژش کوتاهه در کل برای هرخونهای نیازه ,کیفیت بدنه,neutral,"['چراغ فانوسی: Positive', 'نوردهیش: Positive', 'طراحیش: Positive', 'کیفیت بدنه: Neutral', 'کابل شارژش: Negative']"
با سلام این کالا دیروز دستم رسید خیلی خوب بود رنگ خیلی خوبی داره و میشه راحت بصورت روزمره استفاده کرد اصلا تند و زننده نیست و اینکه خیلی نرم و لطیف هستش. ,"این کالا, رنگ","positive, positive","['کالا: Positive', 'رنگ: Positive', 'میشه استفاده بصورت روزمره: Positive', 'تند و زننده نیست: Positive', 'نرم و لطیف هستش: Positive']"
با سلام این گوشی از همه نظر عالیه با توجه به ۵ ماه استفاده بازی های سنگین رو بدون لگ و با سرعت بالا اجرا میکنه کیفیت صفحه نمایش فوق العاده هست کیفیت دوربین ها عالی است حتی در نور کم تا حالا حتی یک بار هم هنگ نکرده مقاومتش بد نیست پیشنهاد می کنم برای گلس و جلد بخرید حسگر اثر انگشتش خیلی سریع و با دقت بالا عمل میکنه در حد یه اشاره همه امکاناتش عالی هست به جز کیبوردش به نظرم بهتره از کیبورد خودش استفاده نکنید. موفق باشین به امید دیدار ,"حسگر اثر انگشتش, صفحه نمایش, گوشی, کیبوردش, دوربین ها","positive, positive, positive, negative, positive","['گوشی: Positive', 
'کیفیت صفحه نمایش: Positive', 
'کیفیت دوربین ها: Positive', 
'RESISTANCE: Neutral', 
'حسگر اثر انگشت: Positive', 
'کیبورد: Negative']"
با سلام این گوشی همچیش عالیه هرکس میخاد بخره شک نکنه اثر انگشت تو ۰٫۲ ثانیه باز میکنه یعنی فوق العاده دوربین اصلی راصی کننده و عالیه دوربین سلفی هم در حد خودش هست ی پیشنهاد: هرکس خواست بخره حتما بیمه کنه چون بسیار شکننده و ظریفه باتری هم برای من دو روز راحت دوام میاره ب وای فای وصلم نور صفحه زیاد و همش تو نت یعنی باتری حرف نداره ارزش داره شک نکنید اگه هم میخاید ببیند گوشیتون اصله یا نه کد #۰۶#* رو بگیر و ببیند ک کد هفتم و هشتمش چنده اگه ۰۸ باشه یعنی اصله و ساخت آلمان و درجه یکه اگه تونستم راهنماییتون کنم لایک کنید ,"اثر انگشت, باتری, دوربین سلفی, این گوشی, دوربین اصلی","positive, positive, positive, positive, positive","['گوشی: Positive', 'دوربین اصلی: Positive', 'دوربین سلفی: Positive', 'پایه: Positive', 'باتری: Positive', 'وای فای و صلم نور صفحه: Neutral']"
با سلام این گوشی یک ماهی هست خریدم همه چیزش عالیه البته با توجه به قیمتش و فقط تنها ایرادش اینه که تاچش خیلی به ندت برای چند ثانیه ای کند میشه اونهم در شرایطی که چند ساعت مداوم باهاش کار کنیکه با توجه به مزیتهای دیگش اصلا منو اذیت نمیکنه. به نظرم با توجه به باتری خیلی خوبش و دوربین درحد انتظار، با این قیمت هزینه بهترین گوشی بود که میتونستم بخرم. ,تاچش,negative,"['گوشی: Positive', 'قیمت: Neutral', 'تچ: Negative', 'باتری: Positive', 'دوربین: Positive']"
با سلام اینکه در وزن کشیهای مختلف مقادیر متفاوتی رو نشون میده به علت اختلاف در ایستادن روی سطح ترازو هستش و در حد چند صد گرم میباشد و از یک کیلو بیشتر نیس گرچه شکل ترازو مزیت حساب نمیشه ولی طراحی شیکی داره و یه ترازوی متوسط هستش و برای استفاده در خونه فک کنم دقتش قابل قبوله ,ترازوی,neutral,"['وزن کشیها: Neutral', 'ترازو: Neutral', 'شکل ترازو: Neutral', 'طراحی شیکی: Positive', 'طراحی ترازوی متوسط: Neutral', 'استفاده در خونه: Neutral']"
با سلام ببینید دوستان این لپ تاپ هرچی هم که باشه واقعا با این قیمتی که یه گوشی هوآوی بدرد نخور هم بهتون نمیدن بازم خوبه این لپ تاپ کیفیت صفحه نمایش خوبی داره از لحاظ ظاهری هم خوشگله سرعتش هم تقریبا خوبه و من تو این سه روز هنگ ازش ندیم ولی بزرگترین ایرادش کیفیت ساخت فوق العاده بدش هست بطوری که وقتی میخواید لپ تاپ رو ببندید و باز کنید واقعا استرس بدی بهتون وارد میشه که هر آن ممکنه بشکنه و همینم هست!!! تو این سه روز دوتا ترک نه چندان کوچیک روی لپ تاپ منم به وجود اومده با این که خیلی هم با احتیاط باهاش کار کردم. لولا های خیلی خشک و بدی داره. اسپیکر ها هم زیر لپ تاپ هستن که یه نقطه ضعف محسوب میشه. تاچ پدش یکمی گیج میزنه اما اینکه بگم بدرد نخوره اوج نامردیه منو میرسونه!! کلا من سخت افزار تقریبا خوبش کیفیت خوب صفحه نمایش و زیبایی لپ تاپ رو خیلی نقاط عطف خوبی میدونم و واقعا با این قیمت بسیار گزینه ی مناسبی محسوب میشه. بازم میگم واسه من غیر از جنس بدنه و کیفیت ساخت یه لپ تاپ خیلی عالی محسوب میشه اگه مفید بود لایک یادتون نره. موفق باشید ,"لولا های, کیفیت ساخت, تاچ پدش, اسپیکر ها, گوشی هوآوی","negative, negative, negative, negative, negative","['لپ تاپ: Positive',
'صفحه نمایش: Positive',
'ظاهر: Positive',
 سرعت: Neutral',
'ساخت کیفیت: Negative',
'قیمت: Positive',
'جنس بدنه: Negative',
'اسپیکر ها: Negative',
'تچ پد: Slightly Negative']"
با سلام برای اون دسته از عزیزانی که شک دارن در خرید این محصول باید عرض کنم که این دستگاه بهترینه برای پاک کردن آرایش توی یک هفته ای که استفاده کردم صورتم صاف شده قبلا با قوی ترین پاک کننده هام تمیزش میکردم در حد یک ساعت تمیز میموند الان دیگه تمیز میمونه انگار معجزه شده خیییییییلی پیشنهاد میکنم به اونایی که مثل من پوست چربی دارن حتما بگیرید تا استفاده نکنی متوجه نمیشی چی میگم در یک کلام دست سازندش درد نکنه فقط کاش برای جدا کردن برس از دستگاه دکمه ای چیزی میزاشت باید محکم بکشیش بیرون مرسی از وقتی که گذاشتین موفق باشین ,این دستگاه,positive,"['دستگاه پاک کننده آرایش: Positive', 'قابلیت پاک کردن سریع: Positive', 'پاک کننده قوی سابق: Negative', 'دکمه جدا برس از دستگاه: Neutral']"
با سلام بعد از کلی تحقیق این آسیاب رو انتخاب کردم چون بی نظیر هستش و برای منی ک در روز ۴۰ گرم قهوه اسیاب میکنم واسه اسپرسو عالیه فقط توی ۲۰ثانیه قهوه پودر شده یک دست عالی بهتون تحویل میده ,این آسیاب,positive,"['سی آسیاب: Positive', 'قهوه پودر شدن: Positive']"
با سلام بنده این گوشی رو از دیجی خریدم دمشون گرم ساخت ویتنامو برام فرستادن تشکر میکنم ازشون بخاطر اصلی بودن گوشی وهمین طور گارانتی وسیم کارت همراه اولی که داخل جعبه بود دوستان میخوام بگم اگر تو این رنج قیمت میخوائید گوشی بخرید فقط همین مدل خوبه از هر نظر راضیتون میکنه حرف نداره با خیال راحت بخرید توی محل ساخت چینیشو با گارانتی اینتر گفتن که کیفیته اینو نداره امیدوارم کمکی کرده باشم بازم دمه دیجیکالا گرم با سپاس ,"این گوشی, ساخت چینیشو","positive, negative","['ساخت ویتنام: Neutral', 'قیمت: Neutral', 'راضیتون میکنه از هر نظر: Positive', 'گارانتی: Positive', 'سیم کارت همراه اولی: Positive']"
با سلام بنده بدلیل فعالیتم در بازار بورس و فارکس، نیاز داشتم که همیشه در لپ تاپم اینترنت همراه داشته باشم و به واسطه ی دوستان با این مودم آشنا شدم. نکته ی جالب اینه که میتونید مثلا مودم رو به دستگاهCDماشین وصل کنید و کل ماشین اینترنت داشته باشه، یا به آداپتور شارژر وصل کنید و کل خونه اینترنت داشته باشه، یا حتی به پاوربانک و یا به کمک رابطOTGبه موبایل وصل کنید. من با خرید این مودم، دیگه برای موبایلم اینترنت نمیخرم. بسیار از کیفیت و سرعت مودم راضی ام و نیازهامو در سطح متوسط و بالاتر رفع کرده و تنها مشکلش عدم وجود قابلیت وارد کردن کدهایUSSDهست که بهترین راه حل فکر میکنم خرید اینترنتی بسته های اینترنتی هست. همچنین این مودم قابلیت مک فیلترینگ (افزودن مک آدرس) داره و همراهش یه سیمکارت ایرانسل هدیه داره. ,"سرعت, کیفیت, مودم, مک فیلترینگ","positive, positive, positive, positive","['مودم: Positive', 'کیفیت: Positive', 'سرعت: Positive', 'متوسط و بالاتر رفع کردن نیازها: Positive', 'قابلیت مک فیلترینگ: Positive', 'قابلیت وارد کردن کدهای USSD: Negative']"
